Rk,Player,Debut,Age,Yrs,G,MPTOT,FG,FGA,3P,3PA,FT,FTA,ORB,TRBTOT,ASTTOT,STL,BLK,TOV,PF,PTSTOT,FG%,3P%,FT%,MP,PTS,TRB,AST,ID
16,Vernon Carey Jr.,Dec 30 '20 CHO @ DAL,19,1,19,115,18,36,1,7,9,11,6,27,2,1,5,5,13,46,.500,.143,.818,6.1,2.4,1.4,0.1,careyve01
17,Nate Darling,Mar 13 '21 CHO vs. TOR,22,1,7,26,2,7,2,7,3,3,1,1,1,0,1,1,1,9,.286,.286,1.000,3.7,1.3,0.1,0.1,darlina01
18,Gabriel Deck,Apr 29 '21 OKC vs. NOP,25,1,10,212,32,67,2,15,18,22,16,40,24,8,0,6,9,84,.478,.133,.818,21.2,8.4,4.0,2.4,deckga01
19,Mamadi Diakite,Mar 11 '21 MIL vs. NYK,24,1,14,141,16,40,1,8,11,14,8,34,8,7,6,3,16,44,.400,.125,.786,10.1,3.1,2.4,0.6,diakima01
20,Devon Dotson,Jan 1 '21 CHI @ MIL,21,1,11,50,11,21,1,7,0,0,2,5,7,4,0,0,3,23,.524,.143,,4.5,2.1,0.5,0.6,dotsode01
21,Anthony Edwards,Dec 23 '20 MIN vs. DET,19,1,72,2314,505,1211,171,520,211,272,59,336,211,82,36,160,129,1392,.417,.329,.776,32.1,19.3,4.7,2.9,edwaran01
22,CJ Elleby,Dec 23 '20 POR vs. UTA,20,1,30,192,25,66,7,34,11,15,11,32,10,6,3,5,27,68,.379,.206,.733,6.4,2.3,1.1,0.3,ellebcj01
23,Malik Fitts,Apr 9 '21 LAC vs. HOU,23,1,3,11,1,3,1,2,0,0,0,3,0,0,0,0,3,3,.333,.500,,3.7,1.0,1.0,0.0,fittsma01
24,Malachi Flynn,Dec 23 '20 TOR vs. NOP,22,1,47,928,127,340,54,168,45,56,10,116,137,38,7,43,68,353,.374,.321,.804,19.7,7.5,2.5,2.9,flynnma01
25,Trent Forrest,Jan 5 '21 UTA @ BRK,22,1,30,302,32,71,5,26,19,19,11,44,45,9,4,21,22,88,.451,.192,1.000,10.1,2.9,1.5,1.5,forretr01
26,Robert Franks,Apr 12 '21 ORL vs. SAS,24,1,7,101,13,28,5,15,12,13,6,14,5,3,3,2,8,43,.464,.333,.923,14.4,6.1,2.0,0.7,frankro01
27,Anthony Gill,Dec 29 '20 WAS vs. CHI,28,1,26,218,30,60,7,24,13,16,16,51,11,10,4,8,27,80,.500,.292,.813,8.4,3.1,2.0,0.4,gillan01
28,Freddie Gillespie,Apr 10 '21 TOR @ CLE,23,1,20,392,44,84,0,0,23,33,42,97,9,13,20,12,43,111,.524,,.697,19.6,5.6,4.9,0.5,gillefr01
29,Josh Green,Dec 23 '20 DAL @ PHO,20,1,39,445,42,93,4,25,13,23,28,78,28,16,3,17,35,101,.452,.160,.565,11.4,2.6,2.0,0.7,greenjo02
30,Ashton Hagans,Jan 25 '21 MIN @ GSW,21,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,2.0,0.0,0.0,0.0,haganas01
31,Tyrese Haliburton,Dec 23 '20 SAC @ DEN,20,1,58,1746,292,619,121,296,48,56,39,173,309,77,28,92,83,753,.472,.409,.857,30.1,13.0,3.0,5.3,halibty01
32,Josh Hall,Dec 29 '20 OKC vs. ORL,20,1,21,336,30,99,4,37,22,44,6,59,28,4,1,25,37,86,.303,.108,.500,16.0,4.1,2.8,1.3,halljo01
33,R.J. Hampton,Dec 28 '20 DEN vs. HOU,19,1,51,888,136,313,27,87,55,82,29,179,87,21,10,53,61,354,.435,.310,.671,17.4,6.9,3.5,1.7,hamptrj01
34,Jalen Harris,Jan 8 '21 TOR @ SAC,22,1,13,172,36,72,17,36,7,9,3,18,17,8,0,14,15,96,.500,.472,.778,13.2,7.4,1.4,1.3,harrija01
